Namespace(exp_name='train', dataset='modelnet40', batch_size=128, test_batch_size=128, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.3, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Train 92, loss: 1.450172, train acc: 0.934622, train avg acc: 0.902658
Test 92, loss: 1.483855, test acc: 0.913695, test avg acc: 0.864791
Train 93, loss: 1.449742, train acc: 0.935752, train avg acc: 0.901866
Test 93, loss: 1.503994, test acc: 0.894246, test avg acc: 0.848535
Train 94, loss: 1.448068, train acc: 0.936986, train avg acc: 0.905475
Test 94, loss: 1.467293, test acc: 0.910859, test avg acc: 0.868872
Train 95, loss: 1.437635, train acc: 0.941098, train avg acc: 0.909688
Test 95, loss: 1.468550, test acc: 0.917747, test avg acc: 0.885250
Train 96, loss: 1.446298, train acc: 0.936472, train avg acc: 0.903517
Test 96, loss: 1.483441, test acc: 0.904376, test avg acc: 0.885715
Train 97, loss: 1.442092, train acc: 0.938939, train avg acc: 0.909582
Test 97, loss: 1.457664, test acc: 0.910454, test avg acc: 0.876959
Train 98, loss: 1.448307, train acc: 0.935855, train avg acc: 0.905293
Test 98, loss: 1.475346, test acc: 0.903160, test avg acc: 0.873390
Train 99, loss: 1.448288, train acc: 0.935444, train avg acc: 0.902906
Test 99, loss: 1.456579, test acc: 0.913695, test avg acc: 0.879122
Train 100, loss: 1.439836, train acc: 0.939659, train avg acc: 0.908834
Test 100, loss: 1.460100, test acc: 0.914100, test avg acc: 0.882634
Train 101, loss: 1.443162, train acc: 0.938631, train avg acc: 0.908157
Test 101, loss: 1.460356, test acc: 0.913290, test avg acc: 0.874424
Train 102, loss: 1.438238, train acc: 0.940173, train avg acc: 0.912189
Test 102, loss: 1.475529, test acc: 0.907212, test avg acc: 0.872994
Train 103, loss: 1.436904, train acc: 0.939145, train avg acc: 0.907660
