Namespace(exp_name='train', dataset='modelnet40', batch_size=128, test_batch_size=128, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.7, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Train 100, loss: 1.602278, train acc: 0.901624, train avg acc: 0.843134
Test 100, loss: 1.504589, test acc: 0.908023, test avg acc: 0.863587
Train 101, loss: 1.605411, train acc: 0.902858, train avg acc: 0.846073
Test 101, loss: 1.487372, test acc: 0.916532, test avg acc: 0.867291
Train 102, loss: 1.605252, train acc: 0.901624, train avg acc: 0.842892
Test 102, loss: 1.509112, test acc: 0.907212, test avg acc: 0.861076
Train 103, loss: 1.598242, train acc: 0.904605, train avg acc: 0.844563
Test 103, loss: 1.487672, test acc: 0.912885, test avg acc: 0.866081
Train 104, loss: 1.600909, train acc: 0.901213, train avg acc: 0.843724
Test 104, loss: 1.497574, test acc: 0.909643, test avg acc: 0.864837
Train 105, loss: 1.598559, train acc: 0.907175, train avg acc: 0.850693
Test 105, loss: 1.502419, test acc: 0.912885, test avg acc: 0.868000
Train 106, loss: 1.597440, train acc: 0.902447, train avg acc: 0.845507
Test 106, loss: 1.498644, test acc: 0.901945, test avg acc: 0.849209
Train 107, loss: 1.599877, train acc: 0.899465, train avg acc: 0.841025
Test 107, loss: 1.497312, test acc: 0.909643, test avg acc: 0.848628
Train 108, loss: 1.593389, train acc: 0.904297, train avg acc: 0.847591
Test 108, loss: 1.520024, test acc: 0.899919, test avg acc: 0.858070
Train 109, loss: 1.597655, train acc: 0.903166, train avg acc: 0.846011
Test 109, loss: 1.492954, test acc: 0.912480, test avg acc: 0.861047
Train 110, loss: 1.590042, train acc: 0.907586, train avg acc: 0.852012
Test 110, loss: 1.498089, test acc: 0.911264, test avg acc: 0.863541
Train 111, loss: 1.588865, train acc: 0.909025, train avg acc: 0.854012
Test 111, loss: 1.512543, test acc: 0.903160, test avg acc: 0.866349
Train 112, loss: 1.586152, train acc: 0.909437, train avg acc: 0.853965
Test 112, loss: 1.495173, test acc: 0.908428, test avg acc: 0.865058
Train 113, loss: 1.587751, train acc: 0.906353, train avg acc: 0.853587
Test 113, loss: 1.489230, test acc: 0.905592, test avg acc: 0.855924
Train 114, loss: 1.591432, train acc: 0.905839, train avg acc: 0.850891
Test 114, loss: 1.477107, test acc: 0.918558, test avg acc: 0.870913
Train 115, loss: 1.576926, train acc: 0.912829, train avg acc: 0.865776
Test 115, loss: 1.479886, test acc: 0.914911, test avg acc: 0.866669
Train 116, loss: 1.582969, train acc: 0.910259, train avg acc: 0.854602
Test 116, loss: 1.495203, test acc: 0.905592, test avg acc: 0.852058
Train 117, loss: 1.587678, train acc: 0.905530, train avg acc: 0.850029
Test 117, loss: 1.500904, test acc: 0.911264, test avg acc: 0.864756
Train 118, loss: 1.582397, train acc: 0.910670, train avg acc: 0.860143
Test 118, loss: 1.479541, test acc: 0.916532, test avg acc: 0.872134
Train 119, loss: 1.575871, train acc: 0.909848, train avg acc: 0.860871
Test 119, loss: 1.489274, test acc: 0.907212, test avg acc: 0.855558
Train 120, loss: 1.577371, train acc: 0.908717, train avg acc: 0.854678
Test 120, loss: 1.482743, test acc: 0.913290, test avg acc: 0.868837
Train 121, loss: 1.570308, train acc: 0.915502, train avg acc: 0.865417
Test 121, loss: 1.496300, test acc: 0.902350, test avg acc: 0.857273
Train 122, loss: 1.575575, train acc: 0.913754, train avg acc: 0.864479
Test 122, loss: 1.496236, test acc: 0.905186, test avg acc: 0.864599
Train 123, loss: 1.570854, train acc: 0.915399, train avg acc: 0.866736
Test 123, loss: 1.483215, test acc: 0.912480, test avg acc: 0.870837
Train 124, loss: 1.568730, train acc: 0.915193, train avg acc: 0.865088
Test 124, loss: 1.477305, test acc: 0.916532, test avg acc: 0.885581
Train 125, loss: 1.573658, train acc: 0.910156, train avg acc: 0.858647
Test 125, loss: 1.476512, test acc: 0.918963, test avg acc: 0.881343
Train 126, loss: 1.578210, train acc: 0.907895, train avg acc: 0.853119
Test 126, loss: 1.498076, test acc: 0.902755, test avg acc: 0.856872
Train 127, loss: 1.565829, train acc: 0.918483, train avg acc: 0.870784
Test 127, loss: 1.485141, test acc: 0.915721, test avg acc: 0.863959
Train 128, loss: 1.568880, train acc: 0.916530, train avg acc: 0.870644
Test 128, loss: 1.495576, test acc: 0.906807, test avg acc: 0.872145
Train 129, loss: 1.567297, train acc: 0.918894, train avg acc: 0.871607
Test 129, loss: 1.476445, test acc: 0.920178, test avg acc: 0.873378
Train 130, loss: 1.570884, train acc: 0.913035, train avg acc: 0.865611
Test 130, loss: 1.485735, test acc: 0.906402, test avg acc: 0.860180
Train 131, loss: 1.565675, train acc: 0.916221, train avg acc: 0.866644
Test 131, loss: 1.484810, test acc: 0.911264, test avg acc: 0.870500
Train 132, loss: 1.560545, train acc: 0.917763, train avg acc: 0.869806
Test 132, loss: 1.477946, test acc: 0.913290, test avg acc: 0.866128
Train 133, loss: 1.558119, train acc: 0.920230, train avg acc: 0.874137
Test 133, loss: 1.475567, test acc: 0.911669, test avg acc: 0.878884
Train 134, loss: 1.559914, train acc: 0.919100, train avg acc: 0.874562
Test 134, loss: 1.485598, test acc: 0.911669, test avg acc: 0.871669
Train 135, loss: 1.559645, train acc: 0.918894, train avg acc: 0.870772
Test 135, loss: 1.481687, test acc: 0.920178, test avg acc: 0.885250
Train 136, loss: 1.563960, train acc: 0.914062, train avg acc: 0.866914
Test 136, loss: 1.485037, test acc: 0.915721, test avg acc: 0.875808
Train 137, loss: 1.559072, train acc: 0.918174, train avg acc: 0.869660
Test 137, loss: 1.474599, test acc: 0.910454, test avg acc: 0.873331
Train 138, loss: 1.563943, train acc: 0.915090, train avg acc: 0.869183
Test 138, loss: 1.462858, test acc: 0.920583, test avg acc: 0.875169
Train 139, loss: 1.556571, train acc: 0.921669, train avg acc: 0.875037
Test 139, loss: 1.467765, test acc: 0.916532, test avg acc: 0.876047
Train 140, loss: 1.552706, train acc: 0.922492, train avg acc: 0.876164
