Namespace(exp_name='train', dataset='modelnet40', batch_size=32, test_batch_size=32, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, model_path='', resume='/home/oem/project/RST/checkpoints/train/models/model.t7', ratio=8, use_conv=9, max_iter=6, output_dir='/home/oem/project/RST/checkpoints/path', checkpoint_path='/home/oem/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Namespace(exp_name='train', dataset='modelnet40', batch_size=32, test_batch_size=32, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Train 151, loss: 1.474359, train acc: 0.936177, train avg acc: 0.905335
Test 151, loss: 1.463021, test acc: 0.918152, test avg acc: 0.888174
Train 152, loss: 1.482968, train acc: 0.931189, train avg acc: 0.894382
Test 152, loss: 1.473185, test acc: 0.912885, test avg acc: 0.883000
Train 153, loss: 1.482146, train acc: 0.935973, train avg acc: 0.905137
Test 153, loss: 1.470177, test acc: 0.909238, test avg acc: 0.870424
Train 154, loss: 1.482492, train acc: 0.931901, train avg acc: 0.896272
Test 154, loss: 1.462312, test acc: 0.917342, test avg acc: 0.874419
Train 155, loss: 1.482168, train acc: 0.932309, train avg acc: 0.897834
Test 155, loss: 1.465119, test acc: 0.914911, test avg acc: 0.880041
Train 156, loss: 1.478461, train acc: 0.935566, train avg acc: 0.903680
Test 156, loss: 1.460097, test acc: 0.915316, test avg acc: 0.891791
Train 157, loss: 1.479277, train acc: 0.934548, train avg acc: 0.902854
Test 157, loss: 1.454884, test acc: 0.916937, test avg acc: 0.880843
Train 158, loss: 1.481275, train acc: 0.932919, train avg acc: 0.899401
Test 158, loss: 1.464534, test acc: 0.920178, test avg acc: 0.884657
Train 159, loss: 1.475415, train acc: 0.938925, train avg acc: 0.907376
Test 159, loss: 1.468548, test acc: 0.917342, test avg acc: 0.887488
Train 160, loss: 1.471575, train acc: 0.939230, train avg acc: 0.908512
Test 160, loss: 1.452157, test acc: 0.923420, test avg acc: 0.890076
Train 161, loss: 1.483543, train acc: 0.927728, train avg acc: 0.891852
Test 161, loss: 1.453604, test acc: 0.919368, test avg acc: 0.887203
Train 162, loss: 1.468186, train acc: 0.940248, train avg acc: 0.909808
Test 162, loss: 1.468451, test acc: 0.914100, test avg acc: 0.894163
Train 163, loss: 1.474180, train acc: 0.936482, train avg acc: 0.904342
Test 163, loss: 1.458229, test acc: 0.920583, test avg acc: 0.900610
Train 164, loss: 1.468340, train acc: 0.940859, train avg acc: 0.907824
Test 164, loss: 1.490847, test acc: 0.902350, test avg acc: 0.868703
Train 165, loss: 1.475712, train acc: 0.935973, train avg acc: 0.901912
Test 165, loss: 1.496746, test acc: 0.898703, test avg acc: 0.879797
Train 166, loss: 1.476186, train acc: 0.936889, train avg acc: 0.905745
Test 166, loss: 1.460932, test acc: 0.917747, test avg acc: 0.883244
Train 167, loss: 1.468854, train acc: 0.940350, train avg acc: 0.908802
Test 167, loss: 1.463136, test acc: 0.916532, test avg acc: 0.888006
Train 168, loss: 1.478222, train acc: 0.933225, train avg acc: 0.900333
Test 168, loss: 1.474708, test acc: 0.905186, test avg acc: 0.890605
Train 169, loss: 1.475382, train acc: 0.936380, train avg acc: 0.904315
Test 169, loss: 1.471573, test acc: 0.909238, test avg acc: 0.869343
Train 170, loss: 1.473219, train acc: 0.935871, train avg acc: 0.902835
